"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"verna ruffin","4702580","2013-2016","tn","Madison County","Verna Ruffin","904830","2018-2023","ct","Waterbury School District","dr. verna ruffin"
"millard house","4703030","2016-2019","tn","Montgomery County","Mr. Millard House","4823640","2021-2022","tx","Houston Isd","Millard House"
"brad cox","4814490","2019-2024","tx","Coahoma Isd","Brad Cox","1725620","2021-2023","il","Mendota Ccsd 289","Mr. Brad Cox"
"walter key","4838760","2008-2013","tx","San Augustine Isd","Walter Key","503770","2013-2014","ar","Caddo Hills School District","KEY, WALTER"
"thomas anderson","4838970","1993-1995","tx","San Marcos Cons Isd","Thomas Anderson","901260","2023","ct","East Hartford School District","thomas anderson"
"todd smith","4809200","2020-2024","tx","Azle Isd","Todd Smith","2925140","2023-2024","mo","Pike Co. R-Iii","Todd Smith"
"karen garza","4828500","2009-2012","tx","Lubbock Isd","Karen Garza","5101260","2013-2015","va","Fairfax County","Dr. Karen K. Garza"
"billy williams","4843110","2000-2004","tx","Trent Isd","Billy Williams","514400","2007-2012","ar","Woodlawn School District","WILLIAMS, BILLY R."
"billy adams","4807620","1990-1992","tx","Alanreed Isd","Billy Adams","508640","2014, 2016-2024","ar","Lakeside School District (Chicot County)","ADAMS, BILLY"
"larry davis","4812750","1998-2004, 2010","tx","Canton Isd","Larry Davis","2925530","2003-2008","mo","Prairie Home R-V","LARRY DAVIS"
"robert young","4821750","2007-2012","tx","Greenwood Isd","Robert Young","2011610","2009-2010","ks","Wallace County Schools","Young, Robert"
"david smith","5103060","2010-2015","va","Prince Edward County","Dr. David Smith","4004950","2018-2021","ok","Bokoshe","David Smith"
"john reynolds","5103370","2010-2012","va","Rockbridge County","Mr. John T. Reynolds","4833690","2018","tx","Onalaska Isd","John Reynolds"
"john reynolds","5103370","2010-2012","va","Rockbridge County","Mr. John T. Reynolds","4821090","2018","tx","Goodrich Isd","John Reynolds"
"michael murphy","5100870","2010-2013","va","Clarke County","Dr. Michael F. Murphy","506420","2016-2022","ar","Fountain Lake School District","MURPHY, MICHAEL"
"randy bridges","5103660","2010-2012","va","Stafford County","Dr. Randy L. Bridges","3702640","2017","nc","Lexington City Schools","Randy Bridges"
"patrick murphy","5100270","2010-2018","va","Arlington County","Dr. Patrick K. Murphy","1726760","2022-2023","il","Morrisonville Cusd 1","Mr. Patrick Murphy"
"toni jones","5101290","2011-2015","va","Falls Church ","Dr. Toni Jones","901710","2019-2023","ct","Greenwich School District","dr. toni jones"
"greg brown","5103420","2016-2021","va","Russell County","Dr. Greg Brown","4834650","2023-2024","tx","Perryton Isd","Greg Brown"
"eric jones","5103030","2013-2021","va","Powhatan County","Dr. Eric L Jones","4702580","2017-2018","tn","Madison County","Mr. Eric Jones"
"donald johnson","5509510","2008-2015","wi","Middleton-Cross Plains School District","Donald Johnson","3170650","2010-2019","ne","Fort Calhoun Community Schs","DONALD JOHNSON"
"mark johnson","5500061","2013-2024","wi","Chetek-Weyerhaeuser Area School District","Mark Johnson","640150","2020-2022","ca","Tustin Unified","Mark Johnson"
"michael johnson","5504050","2020-2024","wi","Eau Claire Area School District","Michael Johnson","514500","2024","ar","Institute For The Creative Arts School","JOHNSON, MICHAEL B."
